계정명,202312,202412,202512
자산(*),794162,644173,590093
유동자산(*),587033,334414,248355
재고자산(*),230990,223107,133318
유동생물자산(*),,,
유동금융자산(*),302565,22282,9697
매출채권및기타유동채권(*),19082,6255,39738
당기법인세자산(선급법인세),,1841,357
계약자산(**),,,
반품(환불)자산,,,
배출권,,,
기타유동자산(*),5143,2695,1502
현금및현금성자산(*),29253,78235,63744
매각예정비유동자산및처분자산집단(*),,,
비유동자산(*),207128,309759,341737
유형자산(*),195144,257640,256981
무형자산(*),731,1112,4963
비유동생물자산(*),,,
투자부동산(*),,,
장기금융자산(*),328,440,19287
관계기업등지분관련투자자산(*),725,17215,4697
장기매출채권및기타비유동채권(*),,470,324
이연법인세자산,8917,31511,54845
장기당기법인세자산,,,
계약자산(**),,,
반품(환불)자산,,,
배출권,,,
기타비유동자산(*),1284,1372,639
기타금융업자산,,,
부채(*),107143,75780,77704
유동부채(*),89431,60280,69956
단기사채(**),,,
단기차입금(*),36118,31225,52275
유동성장기부채(*),3471,2471,1143
유동금융부채(*),704,345,622
매입채무및기타유동채무(*),44220,26238,15913
유동종업원급여충당부채(*),,,
기타단기충당부채(*),,,
당기법인세부채(미지급법인세),4919,,
계약부채,,,
반품(환불)부채,,,
배출부채,,,
기타유동부채(*),,,3
매각예정으로분류된처분자산집단에포함된부채(*),,,
비유동부채(*),17711,15500,7749
사채(*),,,
장기차입금(*),14210,11739,4286
비유동금융부채(*),1007,729,195
장기매입채무및기타비유동채무(*),1756,115,362
비유동종업원급여충당부채(*),739,2917,2906
기타장기충당부채(*),,,
이연법인세부채,,,
장기당기법인세부채(미지급법인세)(**),,,
계약부채,,,
반품(환불)부채,,,
배출부채,,,
기타비유동부채(*),,,
기타금융업부채,,,
자본(*),687019,568393,512389
*수권주식수,40000000,40000000,40000000
*주당액면가액,500,500,500
*발행한주식총수(*),4788000,4785000,4785000
*보통주,4788000,4785000,4785000
*우선주,,,
지배기업주주지분(*),687019,568393,512389
자본금(*),2394,2394,2394
신종자본증권,,,
자본잉여금(*),408909,408909,408909
기타자본(*),-4149,-3489,-4248
기타포괄손익누계액(*),,701,1739
이익잉여금(결손금)(*),279864,159877,103593
비지배주주지분,,,
