계정명,202312,202412,202512
영업활동으로인한현금흐름(간접법)(*),-3497,-135118,4241
*(직접법)총현금유입(*),,,
*(직접법)총현금유출(*),,,
당기순손익,71892,-119135,-56593
법인세비용차감전계속사업이익,,,
현금유출이없는비용등가산(*),64677,64326,37820
(현금유입이없는수익등차감)(*),33039,38451,69160
영업활동으로인한자산부채변동(운전자본변동)(*),-70828,-34010,90433
자산의감소(증가)(*),-71779,-25027,100691
부채의증가(감소)(*),952,-8984,-10258
정부보조금등의변동,,,
기타운전자본의변동,,,
*영업에서창출된현금흐름,32702,-127270,2500
이자수입,,,
이자지급(-),,,
배당금수입,,,
배당금지급(-),,,
법인세환입,,,1741
법인세납부(-),-36199,-7848,
중단영업관련현금흐름,,,
투자활동으로인한현금흐름(*),-105560,195386,-28967
투자활동으로인한현금유입액(*),301490,397570,41379
(투자활동으로인한현금유출액)(*),417273,214137,72390
이자수입,10222,11952,2044
이자지급(-),,,
배당금수입,,,
배당금지급(-),,,
법인세환입,,,
법인세납부(-),,,
중단영업관련현금흐름,,,
재무활동으로인한현금흐름(*),133950,-11472,10300
재무활동으로인한현금유입액(*),468157,93050,87325
(재무활동으로인한현금유출액)(*),131213,102361,75084
이자수입,,,
이자지급(-),-2995,-2162,-1941
배당금수입,,,
배당금지급(-),-200000,,
법인세환입,,,
법인세납부(-),,,
중단영업관련현금흐름,,,
영업투자재무활동기타현금흐름,,,
연결범위변동으로인한현금의증가,,,
환율변동효과,-1885,187,-66
현금및현금성자산의증가,23008,48982,-14492
기초현금및현금성자산,6245,29253,78235
기말현금및현금성자산,29253,78235,63744
