계정명,202312,202412,202512
매출액(수익)(*),439439,128404,209914
*수출(*),,,
*내수,,,
매출원가(*),375108,263116,253139
매출총이익(손실),64332,-134711,-43225
판매비와관리비(*),14313,20156,20371
인건비(*),5289,5421,6249
유무형자산상각비(*),687,555,455
연구개발비,2640,2720,2660
광고선전비,,,
판매비(*),,,
관리비(*),4752,10288,8918
기타원가성비용(*),,,
기타,945,1172,2089
영업이익(손실),50018,-154867,-63596
금융수익(*),40037,10235,4576
이자수익,13670,7453,1963
배당금수익,72,,
외환이익(*),7530,2633,2415
대손충당금환입액,,,
매출채권처분이익,,,
당기손익-공정가치측정 금융자산관련이익,,,
금융자산처분이익(*),,,
금융자산평가이익(*),18338,,
금융자산손상차손환입(*),,,
파생상품이익(*),428,150,197
기타금융수익(*),,,
금융원가(*),10913,4990,7175
이자비용,2894,2046,1931
외환손실(*),6614,2895,4660
대손상각비,,,
당기손익-공정가치측정 금융자산관련손실,,,
매출채권처분손실,,,
금융자산처분손실(*),,,
금융자산평가손실(*),,,
금융자산손상차손(*),,,
파생상품손실(*),1404,49,584
기타금융원가(*),,,
기타수익(*),19,59,333
이자수익,,,
배당금수익,,,
외환이익(*),,,
재고자산감모손실환입,,,
재고자산폐기(처분)이익,,,
당기손익-공정가치측정 금융자산평가이익,,,
자산처분(폐기)이익(*),4,2,107
자산평가이익,,,
자산손상차손환입(*),,,
파생상품이익(*),,,
임대료수익,,,
로열티수익,,,
수수료수익,,,
대손충당금환입,,,
충당부채환입액,,,
기타(*),14,57,225
기타비용(*),1127,186,12693
이자비용,,,
외환손실(*),,,
재고자산감모손실,,,
재고자산폐기(처분)손실,,,
당기손익-공정가치측정 금융자산평가손실,,,
자산처분(폐기)손실(*),658,15,1
자산평가손실,,,
자산손상차손(*),,,
파생상품손실(*),,,
기타대손상각비,,,
충당부채전입액,,,
기타(*),469,171,12692
"종속기업,공동지배기업및관계기업관련손익(*)",,7683,-1145
지분법손익(*),,7683,-1145
"종속기업,공동지배기업및관계기업투자주식처분손익(*)",,,
"종속기업,공동지배기업및관계기업투자주식손상관련손익(*)",,,
기타(*),,,
법인세비용차감전계속사업이익,78034,-142067,-79701
법인세비용,6142,-22932,-23109
종속회사매수일전순손익,,,
처분된종속회사순손익,,,
계속영업이익(손실),71892,-119135,-56593
중단영업이익(손실),,,
당기순이익(손실),71892,-119135,-56593
기타포괄손익(*),-1024,-127,1838
총포괄손익,70868,-119261,-54754
(당기순손익귀속)지배기업주주지분,71892,-119135,-56593
(당기순손익귀속)비지배주주지분,,,
(총포괄손익귀속)지배기업주주지분,70868,-119261,-54754
(총포괄손익귀속)비지배주주지분,,,
주당계속영업이익,16183,-24883,-11820
주당순손익,16183,-24883,-11820
희석주당계속영업이익,,,
희석주당순손익,,,
(지배기업주주지분)주당계속영업이익,16183,-24883,-11820
(지배기업주주지분)주당순손익,16183,-24883,-11820
(지배기업주주지분)희석주당계속영업이익,,,
(지배기업주주지분)희석주당순손익,,,
