계정명,202212,202312,202412,202512
자산(*),589844062,794161941,644172667,590092677
유동자산(*),457048933,587033466,334413850,248355366
재고자산(*),142734887,230990188,223106608,133317705
상품,,,,
(평가손실충당금),,,,
제품,27016799,84264650,135338796,107163519
(평가손실충당금),,,81875234,38939730
완성건물,,,,
(평가손실충당금),,,,
원재료(부재료),83253851,162451573,133653938,50392899
(평가손실충당금),,38189936,,
재공품,8709690,13993311,10150012,3813133
(평가손실충당금),,,,
미완성건물,,,,
(평가손실충당금),,,,
미완성공사,,,,
(평가손실충당금),,,,
용지,,,,
(평가손실충당금),,,,
반제품,,,,
(평가손실충당금),,,,
미착품,23754547,8470590,25839097,10887884
(평가손실충당금),,,,
저장품(소모품),,,,
(평가손실충당금),,,,
반환(반품)재고자산,,,,
(평가손실충당금),,,,
기타재고자산,,,,
(평가손실충당금),,,,
유동생물자산(*),,,,
식물(조림),,,,
(상각누계액),,,,
(손상차손누계액),,,,
(정부보조금등),,,,
축산물,,,,
(상각누계액),,,,
(손상차손누계액),,,,
(정부보조금등),,,,
수산물,,,,
(상각누계액),,,,
(손상차손누계액),,,,
(정부보조금등),,,,
기타생물자산,,,,
(상각누계액),,,,
(손상차손누계액),,,,
(정부보조금등),,,,
유동금융자산(*),20250525,302565196,22281694,9697238
단기금융상품(금융기관예치금),5000000,302132000,22132000,7500000
당기손익-공정가치측정 금융자산,,,,
기타포괄손익-공정가치측정 금융자산,,,,
상각후원가측정 유가증권,,,,
상각후원가측정 금융자산,,,,
당기손익인식금융자산(*),,,,
단기매매금융자산,,,,
당기손익인식(지정)금융자산,,,,
단기매도가능금융자산,,,,
단기만기보유금융자산,,,,
단기대여금,11090000,,,2000000
(대손충당금),90000,,,
*외화단기대여금,,,,
*특수관계자단기대여금,,,,
*주임종단기대여금,,,,
단기파생상품자산(*),4235525,,149694,197238
옵션,,,,
선물,,,,
선도,4235525,,149694,197238
스왑,,,,
기타단기파생상품자산,,,,
기타의유동금융자산(*),15000,433196,,
금융리스채권,,,,
(대손충당금),,,,
단기보증금,15000,433196,,
(대손충당금),,,,
지급(금융)보증계약자산,,,,
(대손충당금),,,,
기타유동금융자산,,,,
(대손충당금),,,,
매출채권및기타유동채권(*),281084109,19081652,6254688,39737870
매출채권,65129367,8097783,4556041,37961427
(대손충당금),33152,,,
*외화매출채권,,,,
*특수관계자매출채권,,,,
공사(분양)미수금(*),,,,
공사미수금,,,,
(대손충당금),,,,
분양미수금,,,,
(대손충당금),,,,
단기미청구공사,,,,
(추정공사손실),,,,
(대손충당금),,,,
미수금(*),214340819,5889523,850368,1218987
미수금,214340819,5889523,850368,1218987
(대손충당금),,,,
*외화미수금,,,,
*특수관계자미수금,,,,
임대미수금,,,,
(대손충당금),,,,
기타의유동채권(*),1647075,5094346,848279,557456
단기대출채권,,,,
(대손충당금),,,,
단기보증금,,,252846,397285
(대손충당금),,,,
미수수익,1647075,5094346,595433,160171
(대손충당금),,,,
*외화미수수익,,,,
미수법인세환급액,,,,
단기임대주택채권,,,,
(국민주택기금차입금),,,,
(임대보증금),,,,
(표준임대보증금),,,,
(전환임대보증금),,,,
기타단기채권,,,,
(대손충당금),,,,
당기법인세자산(선급법인세),,,1840552,357136
계약자산,,,,
(대손충당금),,,,
반품(환불)자산,,,,
배출권,,,,
기타유동자산(*),6734332,5143016,2694968,1501911
선급금,3784656,243215,50000,25901
(대손충당금),,,,
선급비용(*),2949676,4899801,2644968,1476010
선급비용,400792,357867,259765,217285
(대손충당금),,,,
"선급공사비,외주비",,,,
(대손충당금),,,,
선급제세,2548884,4541934,2385203,1258725
기타의유동자산(*),,,,
보증금,,,,
(대손충당금),,,,
기타유동자산,,,,
(대손충당금),,,,
현금및현금성자산(*),6245079,29253415,78235339,63743506
(정부보조금등),,,,
현금,,,,
보통예금,,,,
당좌예금,,,,
외화예금,,,,
외화,,,,
기타예금(요구불예금),,,25235339,41720260
현금성자산(현금등가물),,,,
기타,6245079,29253415,53000000,22023246
(정부보조금등),,,,
매각예정비유동자산및처분자산집단(*),,,,
비유동자산(*),,,,
유형자산,,,,
투자부동산,,,,
영업권,,,,
무형자산,,,,
비유동생물자산,,,,
관계기업등지분관련투자자산,,,,
비유동금융자산,,,,
장기매출채권및기타비유동채권,,,,
기타비유동자산,,,,
유동자산(*),,,,
재고자산,,,,
유동생물자산,,,,
유동금융자산,,,,
매출채권및기타유동채권,,,,
기타유동자산,,,,
현금및현금성자산,,,,
기타,,,,
비유동자산(*),132795129,207128475,309758817,341737311
유형자산(*),114966980,195144032,257639899,256981187
토지,5647894,5647894,20566501,20566501
(손상차손누계액),,,,
(정부보조금등),,,,
설비자산(*),84074770,104221510,202434416,208482080
건물및부속설비,20556623,20435967,42324889,42848389
(감가상각누계액),1252894,2204986,3408558,4431777
(손상차손누계액),,,,
(정부보조금등),787057,938979,886079,861968
구축물,446191,569038,642538,1156894
(감가상각누계액),26202,49457,78490,117626
(손상차손누계액),,,,
(정부보조금등),,49543,47055,44567
